Variable Name,Variable ALSPAC Name,Variable Description,Variable Type,Administered to,Age of child at administration,ALSPAC Measure,ALSPAC Responses,Processing Details,Reference Document
secd_diag,FJCI601,Child's secondary diagnosis in accordance with ICD-10.,Discrete,Clinic,17.5,Derived by ALSPAC. See Processing Details.,,"Secondary diagnosis was determined using the CIS-R. 0 = none, 1 = mild neurosis, 2 = mild GAD, 3 = OCD, 4 = mixed anxiety and depression, 5 = specific phobia, 6 = social phobia, 7 = agoraphobia, 8 = GAD, 9 = panic disorder, 10 = mild depression, 11 = moderate depression, 12 = severe depression",
talk_mob_week,ccs1011,Average time child spent per day talking on a mobile phone on a typical weekday,Ordinal,Child,16.5,How much time on average do you spend each day ... talking on a mobile phone ... on a typical weekday?,Not at all,"The categories ""1-2 hours"" & ""3 or more hours"" were combined to form the new category ""1 or more hours""",
talk_mob_wend,ccs1031,Average time child spent per day talking on a mobile phone on a typical weekend day,Ordinal,Child,16.5,How much time on average do you spend each day ... talking on a mobile phone ... on a typical weekend day?,Not at all,"The categories ""1-2 hours"" & ""3 or more hours"" were combined to form the new category ""1 or more hours""",
talk_phon_week,ccs1013,Average time child spent per day talking on an ordinary phone on a typical weekday,Ordinal,Child,16.5,How much time on average do you spend each day ... talking on an ordinary phone ... on a typical weekday?,Not at all,"The categories ""Less than 1 hour"", ""1-2 hours"" and ""3 or more hours"" were combined and recoded to form the new category ""Any at all""",
talk_phon_wend,ccs1033,Average time child spent per day talking on an ordinary phone on a typical weekend day,Ordinal,Child,16.5,How much time on average do you spend each day ... talking on an ordinary phone ... on a typical weekend day?,Not at all,"The categories ""Less than 1 hour"", ""1-2 hours"" and ""3 or more hours"" were combined and recoded to form the new category ""Any at all""",
text_week,ccs1012,Average time child spent per day texting on a typical weekday,Ordinal,Child,16.5,How much time on average do you spend each day ... texting ... on a typical weekday?,Not at all,None,
text_wend,ccs1032,Average time child spent per day texting on a typical weekend day,Ordinal,Child,16.5,How much time on average do you spend each day ... texting ... on a typical weekend day?,Not at all,None,
tran_week,ccs1000,Average time child spent per day in a car/bus/other transport on a typical weekday,Ordinal,Child,16.5,"How much time on average do you spend each day ... in a car, bus or other transport ... on a typical weekday?",Not at all,"The category ""Not at all"" was collapsed into the ""Less than 1 hour"" category. The categories ""1-2 hours"" and ""3 or more hours"" were combined to form the new category ""1 or more hours""",
tran_wend,ccs1020,Average time child spent per day in a car/bus/other transport on a typical weekend day,Ordinal,Child,16.5,"How much time on average do you spend each day ... in a car, bus or other transport ... on a typical weekend day?",Not at all,"The category ""Not at all"" was collapsed into the ""Less than 1 hour"" category. The categories ""1-2 hours"" and ""3 or more hours"" were combined to form the new category ""1 or more hours""",
tv_week,ccs1003,Average time child spent per day watching TV on a typical weekday,Ordinal,Child,16.5,How much time on average do you spend each day ... watching TV ... on a typical weekday?,Not at all,None,
tv_wend,ccs1023,Average time child spent per day watching TV on a typical weekend day,Ordinal,Child,16.5,How much time on average do you spend each day ... watching TV ... on a typical weekend day?,Not at all,None,
weight_16,fh3010,Child's weight (kg),Continuous,Clinic,15.5,Weight recorded by clinician.,,None,
work_week,ccs1007,Average time child spent per day doing school or college homework on a typical weekday,Ordinal,Child,16.5,How much time on average do you spend each day ... school or college homework ... on a typical weekday?,Not at all,"The category ""Not at all"" was combined with the ""Less than 1 hour"" category",
work_wend,ccs1027,Average time child spent per day doing school or college homework on a typical weekend day,Ordinal,Child,16.5,How much time on average do you spend each day ... school or college homework ... on a typical weekend day? ,Not at all,"The category ""Not at all"" was combined with the ""Less than 1 hour"" category",
,,,,,,,,,
A = directly related to screen time such as comp_week (Average time child spent per day using a computer on a typical weekday)  ,,,,,,,,,
B = indirectly related to screen time such as comp_games (Child has computer games),,,,,,,,,
C = directly related to mental health,,,,,,,,,
D = indirectly related to mental health ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
198 = 16.5,,,,,,,,,
